,Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
0,A,Agilent Technologies Inc. Common Stock,$156.29,0.03,0.019%,47312525782.0,United States,1999.0,1413801,Capital Goods,Electrical Products
1,AA,Alcoa Corporation Common Stock ,$47.78,-1.02,-2.09%,8939788364.0,,2016.0,4926135,Basic Industries,Metal Fabrications
2,AAC,Ares Acquisition Corporation Class A Ordinary Shares,$9.80,0.01,0.102%,1225000000.0,,2021.0,800299,Finance,Business Services
3,AACG,ATA Creativity Global American Depositary Shares,$1.42,-0.15,-9.554%,44555226.0,China,,23037,Miscellaneous,Service to the Health Industry
4,AACI,Armada Acquisition Corp. I Common Stock,$9.75,-0.01,-0.102%,201917625.0,United States,2021.0,257,,
5,AACIW,Armada Acquisition Corp. I Warrant,$0.4601,-0.0409,-8.164%,0.0,United States,2021.0,27900,,
6,AADI,Aadi Bioscience Inc. Common Stock,$23.70,1.1,4.867%,495188487.0,United States,,217288,Health Care,Biotechnology: Pharmaceutical Preparations
7,AAIC,Arlington Asset Investment Corp Class A (new),$3.64,-0.05,-1.355%,114585085.0,United States,,112269,Finance,Finance/Investors Services
8,AAIC^B,Arlington Asset Investment Corp 7.00% ,$25.01,0.06,0.24%,,United States,,4695,,
9,AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$25.65,0.15,0.588%,,United States,,1103,,
